 id  | building_type_id | level | food_cost | wood_cost | stone_cost | iron_cost | gold_cost | build_seconds | food_per_hour | wood_per_hour | stone_per_hour | iron_per_hour | gold_per_hour 
  62 |               11 |     9 |         0 |    960000 |          0 |         0 |         0 |          2700 |             0 |             0 |              0 |             0 |             0
  63 |               11 |    10 |         0 |   1900000 |          0 |         0 |         0 |          3000 |             0 |             0 |              0 |             0 |             0
  94 |               12 |     1 |         0 |      1000 |          0 |         0 |         0 |           300 |             0 |             0 |              0 |             0 |             0
  95 |               12 |     2 |         0 |      3000 |          0 |         0 |         0 |           600 |             0 |             0 |              0 |             0 |             0
  96 |               12 |     3 |         0 |     10000 |          0 |         0 |         0 |           900 |             0 |             0 |              0 |             0 |             0
  97 |               12 |     4 |         0 |     30000 |          0 |         0 |         0 |          1200 |             0 |             0 |              0 |             0 |             0
  98 |               12 |     5 |         0 |     60000 |          0 |         0 |         0 |          1500 |             0 |             0 |              0 |             0 |             0
  99 |               12 |     6 |         0 |    120000 |          0 |         0 |         0 |          1800 |             0 |             0 |              0 |             0 |             0
 100 |               12 |     7 |         0 |    240000 |          0 |         0 |         0 |          2100 |             0 |             0 |              0 |             0 |             0
 101 |               12 |     8 |         0 |    480000 |          0 |         0 |         0 |          2400 |             0 |             0 |              0 |             0 |             0
 102 |               12 |     9 |         0 |    960000 |          0 |         0 |         0 |          2700 |             0 |             0 |              0 |             0 |             0
 103 |               12 |    10 |         0 |   1900000 |          0 |         0 |         0 |          3000 |             0 |             0 |              0 |             0 |             0
 114 |               13 |     1 |         0 |      2000 |          0 |         0 |         0 |           300 |             0 |             0 |              0 |             0 |             0
 115 |               13 |     2 |         0 |      6000 |          0 |         0 |         0 |           600 |             0 |             0 |              0 |             0 |             0
 116 |               13 |     3 |         0 |     20000 |          0 |         0 |         0 |           900 |             0 |             0 |              0 |             0 |             0
 117 |               13 |     4 |         0 |     60000 |          0 |         0 |         0 |          1200 |             0 |             0 |              0 |             0 |             0
 118 |               13 |     5 |         0 |    120000 |          0 |         0 |         0 |          1500 |             0 |             0 |              0 |             0 |             0
 119 |               13 |     6 |         0 |    240000 |          0 |         0 |         0 |          1800 |             0 |             0 |              0 |             0 |             0
 120 |               13 |     7 |         0 |    480000 |          0 |         0 |         0 |          2100 |             0 |             0 |              0 |             0 |             0
 121 |               13 |     8 |         0 |    960000 |          0 |         0 |         0 |          2400 |             0 |             0 |              0 |             0 |             0
 122 |               13 |     9 |         0 |   1900000 |          0 |         0 |         0 |          2700 |             0 |             0 |              0 |             0 |             0
 123 |               13 |    10 |         0 |   3800000 |          0 |         0 |         0 |          3000 |             0 |             0 |              0 |             0 |             0
 124 |               14 |     1 |         0 |      2000 |          0 |      1000 |         0 |           300 |             0 |             0 |              0 |             0 |             0
 125 |               14 |     2 |         0 |      6000 |          0 |      3000 |         0 |           600 |             0 |             0 |              0 |             0 |             0
 126 |               14 |     3 |         0 |     20000 |          0 |     10000 |         0 |           900 |             0 |             0 |              0 |             0 |             0
 127 |               14 |     4 |         0 |     60000 |          0 |     30000 |         0 |          1200 |             0 |             0 |              0 |             0 |             0
 128 |               14 |     5 |         0 |    120000 |          0 |     60000 |         0 |          1500 |             0 |             0 |              0 |             0 |             0
 129 |               14 |     6 |         0 |    240000 |          0 |    120000 |         0 |          1800 |             0 |             0 |              0 |             0 |             0
 130 |               14 |     7 |         0 |    480000 |          0 |    240000 |         0 |          2100 |             0 |             0 |              0 |             0 |             0
 131 |               14 |     8 |         0 |    960000 |          0 |    480000 |         0 |          2400 |             0 |             0 |              0 |             0 |             0
 132 |               14 |     9 |         0 |   1900000 |          0 |    960000 |         0 |          2700 |             0 |             0 |              0 |             0 |             0
 133 |               14 |    10 |         0 |   3800000 |          0 |   1900000 |         0 |          3000 |             0 |             0 |              0 |             0 |             0
 144 |               15 |     1 |         0 |      2000 |          0 |      2000 |         0 |           300 |             0 |             0 |              0 |             0 |             0
 145 |               15 |     2 |         0 |      6000 |          0 |      6000 |         0 |           600 |             0 |             0 |              0 |             0 |             0
 146 |               15 |     3 |         0 |     20000 |          0 |     20000 |         0 |           900 |             0 |             0 |              0 |             0 |             0
 147 |               15 |     4 |         0 |     60000 |          0 |     60000 |         0 |          1200 |             0 |             0 |              0 |             0 |             0
 148 |               15 |     5 |         0 |    120000 |          0 |    120000 |         0 |          1500 |             0 |             0 |              0 |             0 |             0
 149 |               15 |     6 |         0 |    240000 |          0 |    240000 |         0 |          1800 |             0 |             0 |              0 |             0 |             0
 150 |               15 |     7 |         0 |    480000 |          0 |    480000 |         0 |          2100 |             0 |             0 |              0 |             0 |             0
 151 |               15 |     8 |         0 |    960000 |          0 |    960000 |         0 |          2400 |             0 |             0 |              0 |             0 |             0
 152 |               15 |     9 |         0 |   1900000 |          0 |   1900000 |         0 |          2700 |             0 |             0 |              0 |             0 |             0
 153 |               15 |    10 |         0 |   3800000 |          0 |   3800000 |         0 |          3000 |             0 |             0 |              0 |             0 |             0
 134 |               16 |     1 |         0 |      2000 |          0 |      1000 |         0 |           300 |             0 |             0 |              0 |             0 |             0
 135 |               16 |     2 |         0 |      6000 |          0 |      3000 |         0 |           600 |             0 |             0 |              0 |             0 |             0
 136 |               16 |     3 |         0 |     20000 |          0 |     10000 |         0 |           900 |             0 |             0 |              0 |             0 |             0
 137 |               16 |     4 |         0 |     60000 |          0 |     30000 |         0 |          1200 |             0 |             0 |              0 |             0 |             0
 138 |               16 |     5 |         0 |    120000 |          0 |     60000 |         0 |          1500 |             0 |             0 |              0 |             0 |             0
 139 |               16 |     6 |         0 |    240000 |          0 |    120000 |         0 |          1800 |             0 |             0 |              0 |             0 |             0
 140 |               16 |     7 |         0 |    480000 |          0 |    240000 |         0 |          2100 |             0 |             0 |              0 |             0 |             0
 141 |               16 |     8 |         0 |    960000 |          0 |    480000 |         0 |          2400 |             0 |             0 |              0 |             0 |             0
 142 |               16 |     9 |         0 |   1900000 |          0 |    960000 |         0 |          2700 |             0 |             0 |              0 |             0 |             0
 143 |               16 |    10 |         0 |   3800000 |          0 |   1900000 |         0 |          3000 |             0 |             0 |              0 |             0 |             0
 164 |               17 |     1 |         0 |      1000 |          0 |         0 |         0 |           300 |             0 |             0 |              0 |             0 |             0
 165 |               17 |     2 |         0 |      3000 |          0 |         0 |         0 |           600 |             0 |             0 |              0 |             0 |             0
 166 |               17 |     3 |         0 |     10000 |          0 |         0 |         0 |           900 |             0 |             0 |              0 |             0 |             0
 167 |               17 |     4 |         0 |     30000 |          0 |         0 |         0 |          1200 |             0 |             0 |              0 |             0 |             0
 168 |               17 |     5 |         0 |     60000 |          0 |         0 |         0 |          1500 |             0 |             0 |              0 |             0 |             0
 169 |               17 |     6 |         0 |    120000 |          0 |         0 |         0 |          1800 |             0 |             0 |              0 |             0 |             0
 170 |               17 |     7 |         0 |    240000 |          0 |         0 |         0 |          2100 |             0 |             0 |              0 |             0 |             0
 171 |               17 |     8 |         0 |    480000 |          0 |         0 |         0 |          2400 |             0 |             0 |              0 |             0 |             0
 172 |               17 |     9 |         0 |    960000 |          0 |         0 |         0 |          2700 |             0 |             0 |              0 |             0 |             0
 173 |               17 |    10 |         0 |   1900000 |          0 |         0 |         0 |          3000 |             0 |             0 |              0 |             0 |             0
 104 |               18 |     1 |         0 |      1000 |          0 |         0 |      1000 |           300 |             0 |             0 |              0 |             0 |             0
 105 |               18 |     2 |         0 |      3000 |          0 |         0 |      3000 |           600 |             0 |             0 |              0 |             0 |             0
 106 |               18 |     3 |         0 |     10000 |          0 |         0 |     10000 |           900 |             0 |             0 |              0 |             0 |             0
 107 |               18 |     4 |         0 |     30000 |          0 |         0 |     30000 |          1200 |             0 |             0 |              0 |             0 |             0
 108 |               18 |     5 |         0 |     60000 |          0 |         0 |     60000 |          1500 |             0 |             0 |              0 |             0 |             0
 109 |               18 |     6 |         0 |    120000 |          0 |         0 |    120000 |          1800 |             0 |             0 |              0 |             0 |             0
 110 |               18 |     7 |         0 |    240000 |          0 |         0 |    240000 |          2100 |             0 |             0 |              0 |             0 |             0
 111 |               18 |     8 |         0 |    480000 |          0 |         0 |    480000 |          2400 |             0 |             0 |              0 |             0 |             0
 112 |               18 |     9 |         0 |    960000 |          0 |         0 |    960000 |          2700 |             0 |             0 |              0 |             0 |             0
 113 |               18 |    10 |         0 |   1900000 |          0 |         0 |   1900000 |          3000 |             0 |             0 |              0 |             0 |             0
  84 |               19 |     1 |         0 |      1000 |          0 |         0 |         0 |           300 |             0 |             0 |              0 |             0 |             0
  85 |               19 |     2 |         0 |      3000 |          0 |         0 |         0 |           600 |             0 |             0 |              0 |             0 |             0
  86 |               19 |     3 |         0 |     10000 |          0 |         0 |         0 |           900 |             0 |             0 |              0 |             0 |             0
  87 |               19 |     4 |         0 |     30000 |          0 |         0 |         0 |          1200 |             0 |             0 |              0 |             0 |             0
  88 |               19 |     5 |         0 |     60000 |          0 |         0 |         0 |          1500 |             0 |             0 |              0 |             0 |             0
  89 |               19 |     6 |         0 |    120000 |          0 |         0 |         0 |          1800 |             0 |             0 |              0 |             0 |             0
  90 |               19 |     7 |         0 |    240000 |          0 |         0 |         0 |          2100 |             0 |             0 |              0 |             0 |             0
  91 |               19 |     8 |         0 |    480000 |          0 |         0 |         0 |          2400 |             0 |             0 |              0 |             0 |             0
  92 |               19 |     9 |         0 |    960000 |          0 |         0 |         0 |          2700 |             0 |             0 |              0 |             0 |             0
  93 |               19 |    10 |         0 |   1900000 |          0 |         0 |         0 |          3000 |             0 |             0 |              0 |             0 |             0
  64 |               20 |     1 |         0 |      1000 |          0 |         0 |         0 |           300 |             0 |             0 |              0 |             0 |             0
  65 |               20 |     2 |         0 |      3000 |          0 |         0 |         0 |           600 |             0 |             0 |              0 |             0 |             0
  66 |               20 |     3 |         0 |     10000 |          0 |         0 |         0 |           900 |             0 |             0 |              0 |             0 |             0
  67 |               20 |     4 |         0 |     30000 |          0 |         0 |         0 |          1200 |             0 |             0 |              0 |             0 |             0
  68 |               20 |     5 |         0 |     60000 |          0 |         0 |         0 |          1500 |             0 |             0 |              0 |             0 |             0
  69 |               20 |     6 |         0 |    120000 |          0 |         0 |         0 |          1800 |             0 |             0 |              0 |             0 |             0
  70 |               20 |     7 |         0 |    240000 |          0 |         0 |         0 |          2100 |             0 |             0 |              0 |             0 |             0
  71 |               20 |     8 |         0 |    480000 |          0 |         0 |         0 |          2400 |             0 |             0 |              0 |             0 |             0
  72 |               20 |     9 |         0 |    960000 |          0 |         0 |         0 |          2700 |             0 |             0 |              0 |             0 |             0
  73 |               20 |    10 |         0 |   1900000 |          0 |         0 |         0 |          3000 |             0 |             0 |              0 |             0 |             0
  74 |               21 |     1 |         0 |      1000 |          0 |         0 |      1000 |           300 |             0 |             0 |              0 |             0 |             0
  75 |               21 |     2 |         0 |      3000 |          0 |         0 |      3000 |           600 |             0 |             0 |              0 |             0 |             0
  76 |               21 |     3 |         0 |     10000 |          0 |         0 |     10000 |           900 |             0 |             0 |              0 |             0 |             0
  77 |               21 |     4 |         0 |     30000 |          0 |         0 |     30000 |          1200 |             0 |             0 |              0 |             0 |             0
  78 |               21 |     5 |         0 |     60000 |          0 |         0 |     60000 |          1500 |             0 |             0 |              0 |             0 |             0
  79 |               21 |     6 |         0 |    120000 |          0 |         0 |    120000 |          1800 |             0 |             0 |              0 |             0 |             0
  80 |               21 |     7 |         0 |    240000 |          0 |         0 |    240000 |          2100 |             0 |             0 |              0 |             0 |             0
  81 |               21 |     8 |         0 |    480000 |          0 |         0 |    480000 |          2400 |             0 |             0 |              0 |             0 |             0
  82 |               21 |     9 |         0 |    960000 |          0 |         0 |    960000 |          2700 |             0 |             0 |              0 |             0 |             0
  83 |               21 |    10 |         0 |   1900000 |          0 |         0 |   1900000 |          3000 |             0 |             0 |              0 |             0 |             0
 154 |               24 |     1 |         0 |      1000 |       1000 |         0 |         0 |           300 |             0 |             0 |              0 |             0 |             0
 155 |               24 |     2 |         0 |      3000 |       3000 |         0 |         0 |           600 |             0 |             0 |              0 |             0 |             0
 156 |               24 |     3 |         0 |     10000 |      10000 |         0 |         0 |           900 |             0 |             0 |              0 |             0 |             0
 157 |               24 |     4 |         0 |     30000 |      30000 |         0 |         0 |          1200 |             0 |             0 |              0 |             0 |             0
 158 |               24 |     5 |         0 |     60000 |      60000 |         0 |         0 |          1500 |             0 |             0 |              0 |             0 |             0
 159 |               24 |     6 |         0 |    120000 |     120000 |         0 |         0 |          1800 |             0 |             0 |              0 |             0 |             0
 160 |               24 |     7 |         0 |    240000 |     240000 |         0 |         0 |          2100 |             0 |             0 |              0 |             0 |             0
 161 |               24 |     8 |         0 |    480000 |     480000 |         0 |         0 |          2400 |             0 |             0 |              0 |             0 |             0
 162 |               24 |     9 |         0 |    960000 |     960000 |         0 |         0 |          2700 |             0 |             0 |              0 |             0 |             0
 163 |               24 |    10 |         0 |   1900000 |    1900000 |         0 |         0 |          3000 |             0 |             0 |              0 |             0 |             0
(209 rows)

